gene_name,epoch,loss
Gnao1,4,0.06233234
Gnao1,9,0.063378744
Gnao1,14,0.060086243
Gnao1,19,0.048669595
Gnao1,24,0.04036099
Gnao1,29,0.034007236
Gnao1,34,0.02962491
Gnao1,39,0.028608385
Gnao1,44,0.02659208
Gnao1,49,0.028067123
Gnao1,54,0.02836113
Gnao1,59,0.03065224
Adk,4,0.085186705
Adk,9,0.06562628
Adk,14,0.04285662
Adk,19,0.041041803
Adk,24,0.03860986
Adk,29,0.034661643
Adk,34,0.034116782
Adk,39,0.03720073
Adk,44,0.037485592
Adk,49,0.03236217
Adk,54,0.029184949
Adk,59,0.027947446
Adk,64,0.026427219
Adk,69,0.022160703
Adk,74,0.020206826
Adk,79,0.020079834
Adk,84,0.023319054
Adk,89,0.02575252
Adk,94,0.02124224
Tspan7,4,0.0777272
Tspan7,9,0.07737841
Tspan7,14,0.07386479
Tspan7,19,0.07403852
Tspan7,24,0.07374742
Tspan7,29,0.070307404
Tspan7,34,0.07116193
Tspan7,39,0.06887544
Tspan7,44,0.064426444
Tspan7,49,0.0631646
Tspan7,54,0.06416365
Tspan7,59,0.068385
Tspan7,64,0.06680082
Ppp3ca,4,0.083811
Ppp3ca,9,0.08537613
Ppp3ca,14,0.08564572
Ppp3ca,19,0.081848934
Ppp3ca,24,0.074485086
Ppp3ca,29,0.066553876
Ppp3ca,34,0.058893107
Ppp3ca,39,0.057285167
Ppp3ca,44,0.061070096
Ppp3ca,49,0.05795161
Ppp3ca,54,0.054922402
Ppp3ca,59,0.05684098
Ppp3ca,64,0.056414843
Ppp3ca,69,0.055663504
Dcdc2a,4,0.098839186
Dcdc2a,9,0.08079281
Dcdc2a,14,0.06534625
Dcdc2a,19,0.06930356
Dcdc2a,24,0.063342296
Dcdc2a,29,0.049849667
Dcdc2a,34,0.039611463
Dcdc2a,39,0.032652274
Dcdc2a,44,0.029291242
Dcdc2a,49,0.029405471
Dcdc2a,54,0.028863356
Dcdc2a,59,0.028478572
Dcdc2a,64,0.028960552
Dcdc2a,69,0.026247498
Dcdc2a,74,0.022940975
Dcdc2a,79,0.023292068
Dcdc2a,84,0.025244182
Dcdc2a,89,0.024712527
Tcp11,4,0.048326552
Tcp11,9,0.044581212
Tcp11,14,0.043111622
Tcp11,19,0.041823916
Tcp11,24,0.04000621
Tcp11,29,0.04115542
Tcp11,34,0.039018176
Tcp11,39,0.03682133
Tcp11,44,0.035414767
Tcp11,49,0.036697984
Tcp11,54,0.038567044
Tcp11,59,0.038436316
Anxa4,4,0.09032118
Anxa4,9,0.079720035
Anxa4,14,0.066475496
Anxa4,19,0.05803885
Anxa4,24,0.05396043
Anxa4,29,0.056751512
Anxa4,34,0.0594899
Anxa4,39,0.06035766
Tmem163,4,0.07403711
Tmem163,9,0.069923036
Tmem163,14,0.06771364
Tmem163,19,0.06887001
Tmem163,24,0.06040918
Tmem163,29,0.044863883
Tmem163,34,0.037403565
Tmem163,39,0.03876535
Tmem163,44,0.038733423
